account,amount
0x60859eD309E5553B39bd66edF1A3C26473da3b6b,183600
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,153000
0x01175Ef4738b825cd12F4d1ff2d2904d52144531,153000
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,183600
0x27B503fd677dd889ea3E7804DF492D2D809E6052,153000
0x52Ff0010d4058bb726725ad76F542C53033D67a1,204000
0xb8aEe482305B7B219704350786FCE47847CEC996,102000
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,102000
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,153000
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,91800
0xc92a88E2d17887646A40ddb0DDBBBe5c2a72512c,91800
0x01175Ef4738b825cd12F4d1ff2d2904d52144531,293760
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,171360
0x36764Af31381057e722A003A69D089D54Fe2c61b,122400
0xB8abE31a6caF1217D632190559B2C1FD909178ec,235008
0x9672c0e1639F159334Ca1288D4a24DEb02117291,204000
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,204000
0xAbA775AcF88723E05dB5546BaE58f10C20a9F061,163200
0xf3BF6BDfEA27464840d53b07c33Ea21C951D3746,106080
0x172697d24Da16f36caf2FAdC3e78B5a538fC858E,106080
0x7EA1EaA27b313D04D359bF3e654FE927376e31Bb,318240
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,134640
0x31e292ba33e01C3a9d3467890E2E5C99e1d6562B,117504
0xa912cF5d10C87B7FC9Cf6b47D203bd1052d02C67,11475
0xb8aEe482305B7B219704350786FCE47847CEC996,122400
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,102000
0x5C6419Ad374793Bb43aa86BfAB7577F4fDdf93b2,148500
0x27aa5a880b512beaf40d1b2e0f256b09f5711444,19200
