account,amount
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,949436
0x8C913aEc7443FE2018639133398955e0E17FB0C1,733522
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,545320
0x27B503fd677dd889ea3E7804DF492D2D809E6052,436813
0xdaFE3083BD4865aDE8fEa183c0E058a585baB68b,433609
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,334561
0xA43f37e80F98A3a4C886ba862aDc8BdBCe40142b,317239
0xB8abE31a6caF1217D632190559B2C1FD909178ec,241855
0x4D6654beeC5942aEe8E3102528a58fb34A0f1b19,199766
0xb8aEe482305B7B219704350786FCE47847CEC996,199196
0x65d5b68A7878A987e7A19826A7f9Aa6F5F92e10F,193489
0xD8652A853F4aC24C797fAA02E4633BD69AC9394D,190886
0x42b81011a367d3c7f4e4b570fadd51209c93f287,184181
0xaaF2F3A917e5AC907EFD9c0f3Fd752CC9d66dC08,149800
0x796Ac058028f19974a4F8256F6B30FEdcc96537d,120860
0xe9Ef427487EA3d7797a65077b1F8CeC554965734,118284
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,105289
0x10ea167893cb51500Ec829222E3D17a968FEB650,101676
0x82944b68bB92fA11764041AA61204b5fdC85F429,100000
0xBfd8cba6a1E10e1Ab4Fa11A0062F4e52e13D260f,88000
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,87888
0x6A09c478559565B33849eFF37E26c455Bb61A9D0,86097
0x7A6ff8906f68C0ceAfDd61C2E5d39834cF0b39F1,81160
0x4Ed2F7EaDd13CdC339b67F371610bf26224E4B98,77250
0x290AA5081D6298C181949946893876A1B76Bf144,77214
0x2B40590F525B4F552B0efB85333877b4A0769400,73000
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,68481
0x7D53BA1D70a66D572A90E3e80Ad4253769340EE7,67800
0x9FbDE1512D2AeB2000866fa6F8A01E6Bc80559e0,64797
0xd1a5b91957530E1B3e9cfac1543467C60c352F69,61036
0x3E2141d27C11DA046e443c53441Ed53b390cb15a,56000
0x3cAEe6446cbbb73569Ac230939B4310deA505FA9,52604
0xb3DED5225Fe4a42766Fee4dF4753b020E93Dadcc,52200
0x47A7202A726324788609003549675F1dBC645b07,52100
0xCAC339cEE0Ab65e90450732bE7c3c671b5D31E97,51000
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,50370
0xD85c413dA833CeBD8338138CcEFA04979DF70E8e,50000
0x9d6b1a15d476BfBBDf4274Ef6B405086cD7258f9,50000
0x41D2Ce62cd81D9ccd5C6890DCb44267B26165F85,50000
0x35fe0aaafe30b98c90d65a24590ae520b516cfae,50000
0xE7339D4421c2d0290d38eaA06657e9e2DD8d3bD8,50000
0x4564d5a8Bb409272F1FB4ae4c8b45fC0eaFd709D,50000
0xE7fBBc8fccd0062D0928544eE7ef89AbDb3b8787,50000
0x18E0FF7c3a14cd4D7ACBFAd41016eDF20257A02A,46492
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,43600
0x4B162DBa01943Bd8CD8af668bE72fB769999aC83,43500
0xE7C28aCc58A6D2d3993b102a7c0B4EB45FeEBeBc,42000
0xf98D4ed4Ac0D14775591355a6EE40c6b22328f5B,41462
0xfeD714AB05fbbC6F964653616C0565033A4Da0eF,40567
0x45b5E0299401f38d7D18bDde102Ae62cDfF86429,40336
0x558815d7d0ed6aa317a3b092af06261de3e73860,35197
0x42b0765b70af2b6910F6281b3dC0C34a9CdbB65c,34989
0x13E283646f203Ef6B24Cd5C8eD5DBbF29Dd0d39F,34500
0x0505E7FDdF5a88a8A3743Ac579Cb6F33c181D4BB,33000
0x6bD68d667ECcEA663b2a2Bee1311F7AD6c817602,31781
0x597F0fDBb96485CD258777248052fF0e4781FE4C,31781
0x8015Dcf3b9D4793e9eA6eC1Ff1D2277e2ED88AD3,31745
0x980F9a443EFE9f72C15C5631C6F2F211Bd9D70D3,30300
0x31BF86ADFE2A6ABdA50f0F0955e133c9Dc65B05e,30000
0x332345477Db00239f88CA2Eb015B159750Cf3C44,29300
0xc92a88E2d17887646A40ddb0DDBBBe5c2a72512c,26981
0x913d7434A18F0ef40181B92a9603e0425ab0ADdf,26200
