account,amount
0x098F2C764F892c24b9Abb9656761eB5946370B35,89030
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,20500
0x2cb427af4dd09c56ab40c601184a3dff385dd13f,20500
0xB8abE31a6caF1217D632190559B2C1FD909178ec,20500
0x5B228FCb60A95F7E749E00c4B88154FC17e706dD,13750
0x38f2a3b2a83c90e1Ed30B07bAdD59d3c14fA97a4,13507.2
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,12800
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,12650
0x332345477Db00239f88CA2Eb015B159750Cf3C44,12000
0x77cB545674f583ebD0453459D4B680Cc4E19e0D7,11156
0x582f19cca38ee3a92123745490a86c9edea96008,9140.4
0x77BbFa1E9088b6763fDF18D4655421E81aFAaCeE,8500
0x0c05AaCC260D5EbfCCDd9B06ab3633120CBe9676,7000
0x10ea167893cb51500ec829222e3d17a968feb650,7000
0x991b1aDe06d49454FD7A2cAeaf31F908e00d1c63,7000
0x3b75B768Dd0dc2F71ac0bCa8713ed5E9C82cfcce,4950
0xAF3A529D68784a78e0c68F7717bDc373a739A93B,3720.6
0x13E283646f203Ef6B24Cd5C8eD5DBbF29Dd0d39F,3300
0x27B503fd677dd889ea3E7804DF492D2D809E6052,3300
0x4D6654beeC5942aEe8E3102528a58fb34A0f1b19,3300
0x78f625A65Fc316D32d98d249b698fb509A6d98f2,3300
0x8C913aEc7443FE2018639133398955e0E17FB0C1,3300
0x82944b68bB92fA11764041AA61204b5fdC85F429,3300
0xf98D4ed4Ac0D14775591355a6EE40c6b22328f5B,3196
0xB2206f941A5206B55BFA33E665687523A8bcEd80,2876.4
0x6CB1429535E053ABD203e64F8020564c649b14a6,1938.6
0x18E0FF7c3a14cd4D7ACBFAd41016eDF20257A02A,1650
0x29Faeb62f4e9E1456c2fEED5c6f27B13Fae91Dae,1650
0x4adF647E256B9B1e8086064437F6b404A5c7b421,1650
0x558815d7d0ed6aa317a3b092af06261de3e73860,1650
0x7447DEbDacaE3638bDBac2f4A443c5615d3f007d,1650
0x92D27113eC390579c24654ff340Ca5D2be9B32DF,1650
0x9C86f8C140C8c8c4eeF3DdC18711D436ffAaC661,1650
0x2733653946a7bd78997160d17dff066026f96428,1134
0x2E7E94BE872319A0D991F704E1F4fad385F5855d,1000
0x5eb71CaeaDf22107A578bC5261ec9A1e16FAD5f8,1000
0x608a9358354A93581E686ac7fFdE9D5FADbcb7E0,1000
0x95D390E8963667461D879A785bFde774138ae20A,1000
0xb4D9728C065781188D8B87d6369509e7B47D12d1,1000
0x42b0765b70af2b6910F6281b3dC0C34a9CdbB65c,500
0x91439ECEFA1BA082f0d285559EDdEC6301c9D429,500
