account,amount
0xcE18A7452d57579d6c6b885B69B1978067Cd2D87,180000
0xb8aEe482305B7B219704350786FCE47847CEC996,240000
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,420000
0x902b13E46305E3AE10F70871C6D0bca9E5446b07,180000
0x8429837A4d311a5B82215Fee1f96BDfCdEA9cD73,180000
0x6098E17a2945d2858368329e03c0a4A64A549814,180000
0x4Ffb83A8344F33453fBEbe5e126534407ceb32f5,420000
0x332345477Db00239f88CA2Eb015B159750Cf3C44,420000
0x098F2C764F892c24b9Abb9656761eB5946370B35,180000
0xbA976b8F86bD02CBbb3FF9406B6c9b5A5D34c00d,100
0xb8aEe482305B7B219704350786FCE47847CEC996,100
0xB32D45828b0f561f48fFC33cFd9107ba3D764fb8,100
0xB32D45828b0f561f48fFC33cFd9107ba3D764fb8,100
0xB32D45828b0f561f48fFC33cFd9107ba3D764fb8,100
0xB32D45828b0f561f48fFC33cFd9107ba3D764fb8,100
0xB32D45828b0f561f48fFC33cFd9107ba3D764fb8,100
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,100
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,100
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,100
0xAB206fb4B72009C5c7e78c2a91b0B8E63fB73e34,100
0x6cD70ffeb89373D89712BB5347e34F4680497586,100
0x14a189DdddB3C80713341c97f194c836B15b8c63,100
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,100
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,100
0x132E925e1F13E3a2E6f948E8a0aD0a1b99454af8,100
